"search_string"	"feilstaving_av"
"1 maskinist"	"førstemaskinist"
"1 semester"	"førstesemester"
"1 styrmann"	"førstestyrmann"
"1. maskinist"	"førstemaskinist"
"2d"	"2D"
"3d"	"3D"
"3d animasjon"	"3d-animasjon"
"3d animatør"	"3D-animatør"
"3d artist"	"3D-artist"
"3d design"	"3D-design"
"3d design og animasjon"	"3D-design og animasjon"
"3d grafiker"	"3D-grafiker"
"3d grafikk"	"3D-grafikk"
"3d modellering"	"3D-modellering"
"3d og animasjon"	"3D og animasjon"
"3d print"	"3D-printing"
"3d printing"	"3D-printing"
"3d spilldesign"	"3D-spilldesign"
"3d spilldesigner"	"3D spilldesigner"
"3d tegner"	"3D-tegner"
"3d-grafikk"	"3D-grafikk"
"4s"	"4S"
"abassadør"	"ambassadør"
"abmulanse"	"ambulanse"
"abotek"	"apotek"
"aboteker"	"apoteker"
"abotektekniker"	"apotektekniker"
"abulangse"	"ambulanse"
"abulanse"	"ambulanse"
"abulanse sjåfør"	"ambulansesjåfør"
"abulansesjofør"	"ambulansesjåfør"
"abulansesjåfør"	"ambulansesjåfør"
"adavokat"	"advokat"
"adbokat"	"advokat"
"adcokat"	"advokat"
"addvokat"	"advokat"
"adferd psykologi"	"atferdspsykologi"
"adferds psykologi"	"atferdspsykologi"
"adferdsanalytiker"	"atferdsanalytiker"
"adferdsbiolog"	"atferdsbiolog"
"adferdsbiologi"	"atferdsbiologi"
"adferdspsykologi"	"atferdspsykologi"
"adferdsvitenskap"	"atferdsvitenskap"
"adinistrasjon"	"administrasjon"
"adjongt"	"adjunkt"
"adjonkt"	"adjunkt"
"adjont"	"adjunkt"
"adjukt"	"adjunkt"
"adjukt med opprykk"	"adjunkt med opprykk"
"adjun"	"adjunkt"
"adjunk"	"adjunkt"
"adjunkr"	"adjunkt"
"adjunkt med opptrykk"	"adjunkt med opprykk"
"adjunkt med tillegsutdanning"	"adjunkt med tilleggsutdanning"
"adjunky"	"adjunkt"
"adjunt"	"adjunkt"
"adkvokat"	"advokat"
"admenstrasjon"	"administrasjon"
"adminastrasjon"	"administrasjon"
"administa"	"administrasjon"
"administasjon"	"administrasjon"
"administasjon og ledelse"	"administrasjon og ledelse"
"administasjonsmedarbeider"	"administrasjonsmedarbeider"
"administerende"	"administrerende direktør"
"administerende direktør"	"administrerende direktør"
"administrajon"	"administrasjon"
"administrajon og ledelse"	"administrasjon og ledelse"
"administrasjo"	"administrasjon"
"administrasjon leder"	"administrasjonsleder"
"administrasjon medarbeider"	"administrasjonsmedarbeider"
"administrasjon og ledelse i offentlig virksomhe"	"administrasjon og ledelse i offentlig virksomhet"
"administrasjon og ledese"	"administrasjon og ledelse"
"administrasjon og organisasjons vitenskap"	"administrasjon og organisasjonsvitenskap"
"administrasjon og organisasjonsvitskap"	"administrasjon og organisasjonsvitenskap"
"administrasjon og organisasjonvitenskap"	"administrasjon og organisasjonsvitenskap"
"administrasjon sekretær"	"administrasjonssekretær"
"administrasjonmedarbeider"	"administrasjonsmedarbeider"
"administrasjons ansvarlig"	"administrasjonsansvarlig"
"administrasjons konsulent"	"administrasjonskonsulent"
"administrasjons koordinator"	"administrasjonskoordinator"
"administrasjons leder"	"administrasjonsleder"
"administrasjonsekretær"	"administrasjonssekretær"
"administrasjonsjef"	"administrasjonssjef"
"administrason"	"administrasjon"
"administrat"	"administrator"
"administration og ledelse"	"administrasjon og ledelse"
"administratør"	"administrator"
"administrende direktør"	"administrerende direktør"
"administrende direktør i industrien"	"administrerende direktør i industrien"
"administrerendedirektør"	"administrerende direktør"
"administrerene direktør"	"administrerende direktør"
"administrsjon"	"administrasjon"
"adminitrasjon"	"administrasjon"
"adminsitrasjon"	"administrasjon"
"adminstrasjonskonsulent"	"administrasjonskonsulent"
"adminstrator"	"administrator"
"adminstrerende direktør"	"administrerende direktør"
"admistrasjon og ledelse"	"administrasjon og ledelse"
"admistrator"	"administrator"
"admistrerende direktør"	"administrerende direktør"
"admnistrasjon og ledelse"	"administrasjon og ledelse"
"adninistrasjon"	"administrasjon"
"adokat"	"advokat"
"adopsjonskonsulent"	"adopsjonskonsulent"
"adoptivforeldere"	"adoptivforeldre"
"adovakt"	"advokat"
"adovkat"	"advokat"
"adovokat"	"advokat"
"adunkt"	"adjunkt"
"adv"	"advokat"
"advakat"	"advokat"
"advikat"	"advokat"
"adviokat"	"advokat"
"advkat"	"advokat"
"advkokat"	"advokat"
"advo"	"advokat"
"advoakt"	"advokat"
"advoat"	"advokat"
"advocat"	"advokat"
"advocates"	"advokat"
"advodkat"	"advokat"
"advojat"	"advokat"
"advok"	"advokat"
"advoka"	"advokat"
"advokad"	"advokat"
"advokado"	"advokat"
"advokag"	"advokat"
"advokakt"	"advokat"
"advokar"	"advokat"
"advokast"	"advokat"
"advokat asistent"	"advokatassistent"
"advokatasistent"	"advokatassistent"
"advokatassisten"	"advokatassistent"
"advokatassisteny"	"advokatassistent"
"advokate"	"advokat"
"advokater"	"advokat"
"advokatr"	"advokat"
"advokatse"	"advokat"
"advokatsekeretær"	"advokatsekretær"
"advokatsekrerær"	"advokatsekretær"
